Summary,Issue Type,Description,Status,Epic Name,Labels,Start Date,Due Date,Priority
Everyday companion product positioning,Story,"Updated copy across landing, chat home, auth, about, metadata — deals, people, travel, local picks, not deals-only.",Done,MRRED — Marketing & Landing,copy|positioning,2026-06-29,2026-06-29,Medium
Deep research product cards (Manus-style),Story,"Structured ResearchBrief with product grid, specs, retailer links, Mr. Red pick, single verdict. Strimmer catalog mock. Files: lib/research/, ResearchBriefView.tsx, ChatMessage.tsx.",Done,MRRED — Chat & AI Experience,chat|research,2026-06-29,2026-06-29,High
Vercel chat blank screen fix,Bug,"Disabled in-memory devStore on Vercel/serverless. Soft URL update on chat create (no router remount). sendingRef guard. Error banner on failed save. Files: dev-auth.ts, ChatSessionContext.tsx, DealChat.tsx, chat API routes.",Done,MRRED — Auth & Deployment,vercel|bugfix|chat,2026-06-29,2026-06-29,Critical
Rename Postgres env vars to MRRED_ prefix,Task,"DATABASE_URL → MRRED_DATABASE_URL and all related PG/POSTGRES vars. Updated db/index.ts, drizzle.config.ts, .env.local.",Done,MRRED — Auth & Deployment,env|database,2026-06-29,2026-06-29,Medium
Update mascot asset everywhere,Task,"Replaced public/mrred-mascot.png with new crossed-arms mascot. Updated aspect ratio in MrRedMascot.tsx (406/615).",Done,MRRED — Branding & UI Polish,branding|mascot,2026-06-30,2026-06-30,Medium
Fix db:push env loading,Bug,"drizzle-kit scripts use node --env-file=.env.local to load MRRED_DATABASE_URL. package.json db:push, db:generate, db:studio.",Done,MRRED — Auth & Deployment,database|tooling,2026-06-30,2026-06-30,High
Dynamic auth URLs all environments,Story,"getAppUrl() and getClientAppUrl() auto-detect localhost, Vercel preview, Vercel production domain. BETTER_AUTH_URL optional override. Files: app-url.ts, auth.ts, auth-client.ts.",Done,MRRED — Auth & Deployment,auth|vercel,2026-06-30,2026-06-30,High
Neon schema push (chats + auth tables),Task,"Ran npm run db:push against Neon. Tables: user, session, account, chats, chat_messages, deals, etc.",Done,MRRED — Auth & Deployment,database,2026-06-30,2026-06-30,High
Wire chat to real LLM API,Story,"Replace generateMockReply() with production AI backend. Currently mock responses only.",To Do,MRRED — Chat & AI Experience,chat|ai|backlog,2026-07-01,2026-07-15,High
Live product search for research briefs,Story,"Replace curated strimmer mock with real search/scrape API for product links and specs.",To Do,MRRED — Chat & AI Experience,research|ai|backlog,2026-07-01,2026-07-20,High
Production auth — disable SKIP_AUTH,Task,"Remove SKIP_AUTH and NEXT_PUBLIC_SKIP_AUTH on Vercel production. Require real sign-up/sign-in.",To Do,MRRED — Auth & Deployment,auth|vercel|backlog,2026-06-30,2026-07-02,High
README update for MRRED_ env vars,Task,"Update README.md: MRRED_DATABASE_URL, dynamic auth URLs, db:push command.",To Do,MRRED — Auth & Deployment,docs|backlog,2026-07-01,2026-07-03,Low
Email verification and password reset,Story,"Better Auth email flows not yet implemented.",To Do,MRRED — Auth & Deployment,auth|backlog,2026-07-05,2026-07-20,Medium
Chat API automated tests,Task,"Add tests for /api/chats routes and ChatSessionContext.",To Do,MRRED — Chat & AI Experience,testing|backlog,2026-07-05,2026-07-15,Medium
